,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,gaia_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_facility
24,51 Peg,b,51 Peg b,Radial Velocity,0,1,4.230785,11.3321864,0.013,,0.0004504296,Msini,,,0,0,0,0,22h57m27.98s,344.366577,+20d46m07.8s,20.768832999999997,15.47,15.47,5.5,V (Johnson),5.256,5793.0,1.12,1.2,2014-05-14,Haute-Provence Observatory
25,55 Cnc,b,55 Cnc b,Radial Velocity,0,5,14.65152,24.777492264,0.0034,90.0,0.00079264158,Mass,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,12.59,5.96,V (Johnson),5.7139999999999995,5196.0,0.91,0.94,2014-10-29,Lick Observatory
26,55 Cnc,c,55 Cnc c,Radial Velocity,0,5,44.4175,51.90356403200001,0.02,90.0,0.00016356702000000002,Mass,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,12.59,5.96,V (Johnson),5.7139999999999995,5196.0,0.91,0.94,2014-10-29,McDonald Observatory
27,55 Cnc,d,55 Cnc d,Radial Velocity,0,5,4825.0,1183.3210960000001,0.019,90.0,0.0037007754000000005,Mass,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,12.59,5.96,V (Johnson),5.7139999999999995,5196.0,0.91,0.94,2014-10-29,Lick Observatory
28,55 Cnc,e,55 Cnc e,Radial Velocity,0,5,0.736539,3.3200940800000005,,83.3,2.4258306e-05,Mass,0.17,6.4,0,0,0,2,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,12.59,5.96,V (Johnson),5.7139999999999995,5196.0,0.91,0.94,2019-01-31,McDonald Observatory
29,55 Cnc,f,55 Cnc f,Radial Velocity,0,5,262.0,169.44521600000002,0.305,90.0,0.0001345563,Mass,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,12.59,5.96,V (Johnson),5.7139999999999995,5196.0,0.91,0.94,2014-10-29,Multiple Observatories
30,6 Lyn,b,6 Lyn b,Radial Velocity,0,1,934.3,453.71752,0.073,,0.001918143,Msini,,,0,0,0,0,06h30m47.11s,97.696281,+58d09m45.5s,58.162631999999995,54.74,54.74,5.86,V (Johnson),5.587999999999999,4938.0,1.44,5.2,2018-12-06,Okayama Astrophysical Observatory
31,61 Vir,b,61 Vir b,Radial Velocity,0,3,4.215,10.794821431999999,0.12,,1.5268800000000002e-05,Msini,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,8.51,4.74,V (Johnson),4.477,5577.0,0.94,0.96,2014-05-14,Multiple Observatories
32,61 Vir,c,61 Vir c,Radial Velocity,0,3,38.021,46.76946,0.14,,5.4395100000000004e-05,Msini,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,8.51,4.74,V (Johnson),4.477,5577.0,0.94,0.96,2014-05-14,Multiple Observatories
33,61 Vir,d,61 Vir d,Radial Velocity,0,3,123.01,102.355232,0.35,,6.87096e-05,Msini,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,8.51,4.74,V (Johnson),4.477,5577.0,0.94,0.96,2014-05-14,Multiple Observatories
34,7 CMa,b,7 CMa b,Radial Velocity,0,2,735.1,378.02625600000005,0.06,90.0,0.0017654550000000002,Msin(i)/sin(i),,,0,0,0,0,06h36m41.04s,99.17099,-19d15m21.2s,-19.255878,19.82,19.82,3.92,V (Johnson),3.5780000000000003,4826.0,1.34,4.87,2019-10-24,Anglo-Australian Telescope
35,7 CMa,c,7 CMa c,Radial Velocity,0,2,996.0,462.96389600000003,0.08,90.0,0.000830241,Msin(i)/sin(i),,,0,0,0,0,06h36m41.04s,99.17099,-19d15m21.2s,-19.255878,19.82,19.82,3.92,V (Johnson),3.5780000000000003,4826.0,1.34,4.87,2019-10-24,Multiple Observatories
36,70 Vir,b,70 Vir b,Radial Velocity,0,1,116.688,103.430392,0.3988,,0.007077088800000001,Msini,,,0,0,0,0,13h28m25.81s,202.107544,+13d46m43.6s,13.778788,17.91,17.91,4.97,V (Johnson),4.709,5495.0,1.09,1.89,2018-12-06,Lick Observatory
37,75 Cet,b,75 Cet b,Radial Velocity,0,1,691.9,451.5672,0.117,,0.0028629000000000003,Msini,,,0,0,0,0,02h32m09.42s,38.039253,-01d02m05.6s,-1.0348959999999998,83.15,83.15,5.35,V (Johnson),5.055,4846.0,2.49,10.5,2015-09-03,Okayama Astrophysical Observatory
38,8 UMi,b,8 UMi b,Radial Velocity,0,1,93.4,105.36568,0.06,,0.001250133,Msini,,,0,0,0,0,14h56m48.35s,224.201477,+74d54m03.3s,74.900925,163.32,163.32,6.83,V (Johnson),6.559,4847.0,1.44,10.3,2018-09-06,Bohyunsan Optical Astronomical Observatory
39,81 Cet,b,81 Cet b,Radial Velocity,0,1,952.7,537.58,0.206,,0.00505779,Msini,,,0,0,0,0,02h37m41.80s,39.424168,-03d23m46.2s,-3.396175,101.53,101.53,5.65,V (Johnson),5.349,4785.0,2.4,11.0,2014-05-14,Okayama Astrophysical Observatory
40,91 Aqr,b,91 Aqr b,Radial Velocity,0,1,181.4,150.5224,0.027,,0.0030537600000000004,Msini,,,0,0,0,0,23h15m53.50s,348.9729,-09d05m15.9s,-9.087736999999999,44.08,44.08,4.25,V (Johnson),3.863,4665.0,1.4,11.0,2014-05-14,Lick Observatory
42,AU Mic,b,AU Mic b,Transit,0,1,8.46321,14.192112000000002,0.1,,0.000171774,Msini,0.375,4.4,0,0,0,0,20h45m09.53s,311.289703,-31d20m27.2s,-31.340899,9.79,9.72,8.81,V (Johnson),7.84,3700.0,0.5,0.75,2020-06-24,Transiting Exoplanet Survey Satellite (TESS)
43,BD+03 2562,b,BD+03 2562 b,Radial Velocity,0,1,481.9,279.5416,0.2,,0.006107520000000001,Msini,,,0,0,0,0,11h50m15.55s,177.564804,+02d45m36.5s,2.7601419999999997,2618.0,1106.93,9.58,V (Johnson),8.998,4095.0,1.14,32.35,2017-06-15,Multiple Observatories
44,BD+14 4559,b,BD+14 4559 b,Radial Velocity,0,1,268.94,167.72496,0.29,,0.000992472,Msini,,,0,0,0,0,21h13m35.99s,318.399963,+14d41m21.8s,14.689387,49.42,49.42,9.63,V (Johnson),9.351,4864.0,0.49,0.86,2018-09-06,McDonald Observatory
45,BD+15 2375,b,BD+15 2375 b,Radial Velocity,0,1,153.22,123.858432,0.001,,0.0010125123,Msini,,,0,0,0,0,11h45m55.72s,176.482174,+14d36m59.0s,14.616381,774.0,785.38,10.31,V (Johnson),9.992,4649.0,1.08,8.95,2016-02-04,Roque de los Muchachos Observatory
46,BD+15 2940,b,BD+15 2940 b,Radial Velocity,0,1,137.48,115.90224800000001,0.26,,0.0010592730000000001,Msini,,,0,0,0,0,16h00m22.94s,240.09556600000002,+15d32m48.9s,15.54693,431.61,431.61,9.046,V (Johnson),8.718,4796.0,1.1,14.7,2014-05-14,McDonald Observatory
47,BD+20 2457,b,BD+20 2457 b,Radial Velocity,0,2,379.63,225.7836,0.15,,0.05304953700000001,Msini,,,0,0,0,0,10h16m44.86s,154.18691,+19d53m29.1s,19.891409,1670.85,1670.85,9.75,V (Johnson),9.227,4259.0,10.83,71.02,2018-09-06,McDonald Observatory
48,BD+20 2457,c,BD+20 2457 c,Radial Velocity,0,2,621.99,432.21432,0.18,,0.011900121000000001,Msini,,,0,0,0,0,10h16m44.86s,154.18691,+19d53m29.1s,19.891409,1670.85,1670.85,9.75,V (Johnson),9.227,4259.0,10.83,71.02,2014-05-14,McDonald Observatory
49,BD+20 274,b,BD+20 274 b,Radial Velocity,0,1,578.2,279.5416,0.21,,0.004008060000000001,Msini,,,0,0,0,0,01h43m40.88s,25.920324,+21d00m19.1s,21.005314000000002,1383.85,1383.85,9.36,V (Johnson),8.916,4296.0,0.8,17.3,2015-09-18,McDonald Observatory
51,BD+48 738,b,BD+48 738 b,Radial Velocity,0,1,392.6,215.032,0.2,,0.0008684130000000001,Msini,,,0,0,0,0,02h42m50.45s,40.710224,+49d35m13.1s,49.58696,892.17,892.17,9.14,V (Johnson),8.656,4414.0,0.74,11.0,2015-08-13,McDonald Observatory
52,BD+48 740,b,BD+48 740 b,Radial Velocity,0,1,733.0,365.5544,0.76,,0.00162231,Msini,,,0,0,0,0,02h42m58.22s,40.742569,+48d55m48.2s,48.930061,678.94,678.94,8.699,V (Johnson),8.264,4534.0,1.09,10.33,2018-02-01,Multiple Observatories
53,BD+49 828,b,BD+49 828 b,Radial Velocity,0,1,2590.0,903.1344,0.35,,0.0015268800000000002,Msini,,,0,0,0,0,03h02m33.73s,45.640529,+49d43m48.0s,49.730011,447.59,447.59,9.38,V (Johnson),9.029,4943.0,1.52,7.6,2015-02-05,McDonald Observatory
56,BD-08 2823,b,BD-08 2823 b,Radial Velocity,0,2,5.6,12.90192,0.15,,3.8172e-05,Msini,,,0,0,0,0,10h00m47.72s,150.198837,-09d31m00.0s,-9.516680000000001,41.38,41.38,9.88,V (Johnson),9.503,4816.0,0.5,0.71,2018-09-06,La Silla Observatory
57,BD-08 2823,c,BD-08 2823 c,Radial Velocity,0,2,237.6,146.22176000000002,0.19,,0.00031491900000000004,Msini,,,0,0,0,0,10h00m47.72s,150.198837,-09d31m00.0s,-9.516680000000001,41.38,41.38,9.88,V (Johnson),9.503,4816.0,0.5,0.71,2014-05-14,La Silla Observatory
58,BD-10 3166,b,BD-10 3166 b,Radial Velocity,0,1,3.48777,8.601280000000001,0.02,,0.000563037,Msini,,,0,0,0,0,10h58m28.80s,164.620003,-10d46m13.4s,-10.770375999999999,84.61,84.61,10.08,V (Johnson),9.84,5393.0,1.47,0.91,2018-09-06,W. M. Keck Observatory
