logg,Teff,Z,L/HP,aLSM,bLSM,aPCM,bPCM,chi2,Type,Mod
4.0,2300,0.0,2.0,0.8854,0.0203,0.828,0.1256,0.0641,q,PD
4.5,2300,0.0,2.0,0.8576,0.0475,0.8142,0.1282,0.0403,q,PD
5.0,2300,0.0,2.0,0.8368,0.0435,0.801,0.1093,0.0336,q,PD
5.5,2300,0.0,2.0,0.8103,0.0489,0.7803,0.1054,0.0185,q,PD
2.5,2400,0.0,2.0,0.6596,0.3839,0.6517,0.4198,0.0661,q,PD
3.0,2400,0.0,2.0,0.6636,0.3147,0.6253,0.4048,0.0228,q,PD
3.5,2400,0.0,2.0,0.6927,0.2664,0.6567,0.3435,0.0143,q,PD
4.0,2400,0.0,2.0,0.7226,0.2213,0.6896,0.2895,0.0085,q,PD
4.5,2400,0.0,2.0,0.7947,0.1349,0.7596,0.2002,0.0368,q,PD
5.0,2400,0.0,2.0,0.7579,0.1457,0.7326,0.1944,0.0141,q,PD
5.5,2400,0.0,2.0,0.7904,0.0899,0.7631,0.1403,0.0274,q,PD
2.5,2500,0.0,2.0,0.6455,0.4127,0.6419,0.445,0.0853,q,PD
3.0,2500,0.0,2.0,0.5634,0.4498,0.5537,0.4926,0.0989,q,PD
3.5,2500,0.0,2.0,0.5788,0.4019,0.562,0.4516,0.0629,q,PD
4.0,2500,0.0,2.0,0.6292,0.3319,0.6091,0.3804,0.0276,q,PD
4.5,2500,0.0,2.0,0.6634,0.2812,0.6454,0.322,0.0153,q,PD
5.0,2500,0.0,2.0,0.7027,0.2237,0.6857,0.2604,0.0135,q,PD
5.5,2500,0.0,2.0,0.7247,0.1784,0.7087,0.2116,0.003,q,PD
2.5,2600,0.0,2.0,0.6486,0.4029,0.6388,0.4516,0.0908,q,PD
3.0,2600,0.0,2.0,0.5439,0.4643,0.5257,0.5262,0.0901,q,PD
3.5,2600,0.0,2.0,0.4942,0.4824,0.478,0.5377,0.0893,q,PD
4.0,2600,0.0,2.0,0.5176,0.4428,0.5044,0.4859,0.0663,q,PD
4.5,2600,0.0,2.0,0.561,0.3867,0.5503,0.4198,0.0473,q,PD
5.0,2600,0.0,2.0,0.6163,0.3167,0.6052,0.3473,0.0386,q,PD
5.5,2600,0.0,2.0,0.6386,0.2777,0.6319,0.2987,0.0405,q,PD
2.5,2700,0.0,2.0,0.5965,0.4409,0.579,0.512,0.1107,q,PD
3.0,2700,0.0,2.0,0.5222,0.4811,0.5015,0.5509,0.0999,q,PD
3.5,2700,0.0,2.0,0.4296,0.5375,0.4129,0.5995,0.1144,q,PD
4.0,2700,0.0,2.0,0.4168,0.5307,0.407,0.5754,0.1041,q,PD
4.5,2700,0.0,2.0,0.4529,0.4854,0.4477,0.5156,0.0823,q,PD
5.0,2700,0.0,2.0,0.5011,0.4258,0.4975,0.4487,0.0693,q,PD
5.5,2700,0.0,2.0,0.5649,0.3482,0.5612,0.368,0.0614,q,PD
2.5,2800,0.0,2.0,0.5544,0.4706,0.5293,0.5649,0.1329,q,PD
3.0,2800,0.0,2.0,0.4976,0.4938,0.4703,0.5813,0.1148,q,PD
3.5,2800,0.0,2.0,0.3829,0.5648,0.3581,0.6488,0.1378,q,PD
4.0,2800,0.0,2.0,0.3434,0.5756,0.3286,0.6386,0.1439,q,PD
4.5,2800,0.0,2.0,0.3631,0.5487,0.3589,0.5856,0.1267,q,PD
5.0,2800,0.0,2.0,0.4078,0.4989,0.4091,0.5198,0.1064,q,PD
5.5,2800,0.0,2.0,0.4828,0.4199,0.4828,0.4372,0.0829,q,PD
2.5,2900,0.0,2.0,0.5181,0.4902,0.4826,0.6146,0.1588,q,PD
3.0,2900,0.0,2.0,0.4642,0.5069,0.4254,0.6244,0.1368,q,PD
3.5,2900,0.0,2.0,0.3668,0.566,0.333,0.6718,0.1499,q,PD
4.0,2900,0.0,2.0,0.3102,0.5866,0.2862,0.6723,0.1638,q,PD
4.5,2900,0.0,2.0,0.294,0.5775,0.2817,0.638,0.1674,q,PD
5.0,2900,0.0,2.0,0.3229,0.5507,0.3236,0.5809,0.15,q,PD
5.5,2900,0.0,2.0,0.3969,0.4793,0.4002,0.4963,0.115,q,PD
2.5,3000,0.0,2.0,0.4926,0.4951,0.4397,0.6674,0.1708,q,PD
3.0,3000,0.0,2.0,0.4325,0.51,0.3712,0.6834,0.1528,q,PD
3.5,3000,0.0,2.0,0.3579,0.5531,0.3101,0.6908,0.161,q,PD
4.0,3000,0.0,2.0,0.2889,0.5705,0.252,0.6843,0.1746,q,PD
4.5,3000,0.0,2.0,0.2687,0.5751,0.2498,0.6513,0.1815,q,PD
5.0,3000,0.0,2.0,0.2612,0.5698,0.2584,0.6129,0.1859,q,PD
5.5,3000,0.0,2.0,0.3143,0.528,0.3205,0.5462,0.1525,q,PD
2.5,1500,0.0,2.0,1.2826,-0.4088,1.2102,-0.2134,0.0975,r,PD
3.0,1500,0.0,2.0,1.1912,-0.3291,1.1173,-0.153,0.0973,r,PD
3.5,1500,0.0,2.0,1.2343,-0.3806,1.1642,-0.2298,0.0673,r,PD
4.0,1500,0.0,2.0,1.3245,-0.4584,1.2888,-0.3749,0.0988,r,PD
4.5,1500,0.0,2.0,1.7208,-0.8438,1.7864,-0.9145,0.2437,r,PD
5.0,1500,0.0,2.0,1.5871,-0.7052,1.5836,-0.6861,0.1324,r,PD
5.5,1500,0.0,2.0,1.3201,-0.465,1.3595,-0.505,0.1896,r,PD
2.5,1600,0.0,2.0,1.1659,-0.3028,1.0901,-0.0922,0.0607,r,PD
3.0,1600,0.0,2.0,1.1114,-0.2399,1.0284,-0.0471,0.0825,r,PD
3.5,1600,0.0,2.0,1.1465,-0.2799,1.0682,-0.1153,0.0844,r,PD
4.0,1600,0.0,2.0,1.1505,-0.2817,1.0798,-0.1449,0.088,r,PD
