Epoch,t0,err
-1580,2454775.3372,0.001500
-1527,2454817.14633,0.000210
-1081,2455168.96879,0.000110
-976,2455251.79657,0.000140
-975,2455252.58544,0.000100
-971,2455255.74077,0.000120
-871,2455334.6254,0.000210
-866,2455338.56927,0.000230
-847,2455353.55659,0.000240
-611,2455539.72327,0.000300
-573,2455569.69826,0.000360
-559,2455580.74124,0.000590
-554,2455584.68693,0.000240
-554,2455584.68684,0.000190
-542,2455594.15188,0.001680
-533,2455601.25164,0.000710
-531,2455602.83138,0.000460
-528,2455605.19414,0.001800
-526,2455606.77464,0.000220
-525,2455607.56241,0.000330
-506,2455622.55057,0.000260
-504,2455624.12787,0.001420
-493,2455632.80612,0.000250
-464,2455655.68222,0.000450
-445,2455670.66976,0.000640
-436,2455677.77038,0.001950
-422,2455688.81201,0.003330
-421,2455689.60276,0.000300
-417,2455692.75674,0.002550
-416,2455693.54639,0.000130
-403,2455703.79933,0.004110
-402,2455704.59078,0.000340
-397,2455708.53495,0.000150
-171,2455886.81234,0.002080
-159,2455896.27611,0.002100
-135,2455915.2098,0.000650
-130,2455919.15485,0.001030
-126,2455922.30966,0.005550
-28,2455999.6163,0.000070
0,2456021.70374,0.000090
10,2456029.5925,0.000350
15,2456033.53645,0.000140
15,2456033.53651,0.000070
15,2456033.53643,0.000070
15,2456033.53652,0.000090
53,2456063.51174,0.000300
910,2456739.54795,0.000050
957,2456776.62329,0.000070
1464,2457176.56474,0.000090
2250,2457796.59224,0.000060
2316,2457848.65559,0.000070
2326,2457856.54384,0.000110
952,2456772.67789,0.000520
1933,2457546.53025,0.000380
3244,2458580.69724,0.000400
3198,2458544.41157234000000,0.00047590470217
3199,2458545.19908564000000,0.00042663235945
3200,2458545.98912698000000,0.00040108529720
3201,2458546.77742755000000,0.00045782454049
3202,2458547.56689779000000,0.00050989063584
3203,2458548.35484120000000,0.00044408636700
3204,2458549.14435098000000,0.00046283232405
3205,2458549.93234935000000,0.00049164171674
3206,2458550.72128079000000,0.00046033340664
3207,2458551.51001800000000,0.00047589719611
3208,2458552.29905987000000,0.0004124016452
3209,2458553.0880155400000,0.00042693291198
3210,2458553.87701241000000,0.00040568719578
3211,2458554.66562316000000,0.00041838415632
3212,2458555.45418594000000,0.00045331601859
3215,2458557.82154773000000,0.00053806107348
3216,2458558.60954869000000,0.0004618092685
3217,2458559.39922581000000,0.00045527762086
3218,2458560.18681943000000,0.00047759861127
3219,2458560.97723766000000,0.00045054333941
3220,2458561.76553313000000,0.00043911836724
3221,2458562.55367699000000,0.00042481193645
3222,2458563.34278127000000,0.00044274263587
3223,2458564.13206727000000,0.00039164688428
3224,2458564.92107690000000,0.0004699466690
3225,2458565.70933150000000,0.00045797326220
3226,2458566.49856396000000,0.00042572037432
3227,2458567.28773873000000,0.0004588014942
