,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,gaia_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_facility
3945,WASP-1,b,WASP-1 b,Transit,0,1,2.5199454,8.36259448,0.0,90.0,0.0008149722,Mass,1.483,0.348,0,0,0,1,00h20m40.07s,5.166978,+31d59m24.0s,31.989990000000002,397.29,397.29,11.79,V (Johnson),11.535,,1.24,1.47,2014-05-14,SuperWASP
3946,WASP-10,b,WASP-10 b,Transit,0,1,3.0927616,8.130359920000002,,88.49,0.003006045,Mass,1.08,4.14,0,0,0,0,23h15m58.30s,348.992912,+31d27m46.3s,31.462852,141.57,141.57,12.7,V (Johnson),12.174000000000001,4675.0,0.75,0.7,2014-05-14,SuperWASP
3949,WASP-103,b,WASP-103 b,Transit,0,1,0.925542,4.2683852,,86.3,0.001421907,Mass,1.528,0.55,0,0,0,0,16h37m15.57s,249.31486800000002,+07d11m00.1s,7.183352,470.0,879.52,12.1,V (Johnson),12.193,6110.0,1.22,1.44,2014-05-14,SuperWASP
3950,WASP-104,b,WASP-104 b,Transit,0,1,1.7554137,6.27463376,0.0,83.63,0.0012138696,Mass,1.137,1.074,0,0,0,0,10h42m24.58s,160.602432,+07d26m06.1s,7.435026,143.0,186.92,11.12,V (Johnson),11.593,5475.0,1.08,0.96,2014-09-25,SuperWASP
3956,WASP-114,b,WASP-114 b,Transit,0,1,1.5487743,6.13056232,0.012,83.96,0.0016881567,Mass,1.339,0.97,0,0,0,0,21h50m39.46s,327.664437,+10d27m48.5s,10.463482,460.0,418.48,12.743,V (Johnson),16.108,5940.0,1.29,1.43,2016-07-18,SuperWASP-North
3959,WASP-119,b,WASP-119 b,Transit,0,1,2.49979,7.8056616000000005,0.058,85.0,0.001173789,Mass,1.4,0.7,0,0,0,0,03h43m44.03s,55.933441,-65d11m37.9s,-65.193855,333.0,305.11,12.2,V (Johnson),12.100999999999999,5650.0,1.02,1.2,2016-05-05,SuperWASP-South
3960,WASP-12,b,WASP-12 b,Transit,0,1,1.09142,4.9887424,,83.52,0.0013980495000000001,Mass,1.9369999999999998,0.267,1,0,0,2,06h30m32.79s,97.63664,+29d40m20.2s,29.672290999999998,432.48,432.48,11.69,V (Johnson),11.5,6360.0,1.43,1.66,2019-07-11,SuperWASP
3961,WASP-120,b,WASP-120 b,Transit,0,1,3.6112706,11.052644800000001,0.057,82.54,0.004628355,Mass,1.473,2.0,0,0,0,0,04h10m27.85s,62.616051,-45d53m53.6s,-45.89822,437.0,385.41,11.0,V (Johnson),10.899000000000001,6450.0,1.39,1.87,2016-06-03,SuperWASP
3962,WASP-121,b,WASP-121 b,Transit,0,1,1.2749255,5.47041408,0.0,87.6,0.0011289369000000002,Mass,1.865,0.243,0,0,0,0,07h10m24.07s,107.600275,-39d05m50.6s,-39.097393,270.0,272.01,10.44,V (Johnson),10.375,6459.0,1.35,1.46,2016-06-23,SuperWASP
3963,WASP-123,b,WASP-123 b,Transit,0,1,2.9776412,9.166814160000001,0.0,85.74,0.0008579157,Mass,1.318,0.521,0,0,0,0,19h17m54.88s,289.47867599999995,-32d51m40.1s,-32.861129999999996,214.0,,11.1,V (Johnson),16.555,5740.0,1.17,1.28,2016-06-03,SuperWASP
3973,WASP-133,b,WASP-133 b,Transit,0,1,2.176423,7.418604000000001,0.17,87.0,0.001106988,Mass,1.21,0.88,0,0,0,0,20h58m18.09s,314.575373,-35d47m47.6s,-35.796555,547.0,567.57,12.9,V (Johnson),12.715,5700.0,1.16,1.44,2016-05-05,SuperWASP-South
3979,WASP-140,b,WASP-140 b,Transit,0,1,2.2359835,6.945533600000001,0.047,83.3,0.002328492,Mass,1.44,1.1,0,0,0,0,04h01m32.55s,60.385619999999996,-20d27m03.9s,-20.451092000000003,180.0,118.0,11.1,V (Johnson),10.82,5260.0,0.9,0.87,2016-12-01,SuperWASP-South
3980,WASP-141,b,WASP-141 b,Transit,0,1,3.310651,10.0850008,0.0,87.6,0.002567067,Mass,1.21,1.98,0,0,0,0,04h47m17.86s,71.824409,-17d06m54.6s,-17.115154,570.0,524.3,12.4,V (Johnson),12.482000000000001,5900.0,1.25,1.37,2016-12-01,SuperWASP-South
3981,WASP-142,b,WASP-142 b,Transit,0,1,2.052868,7.4616104000000005,0.0,80.2,0.000801612,Mass,1.53,0.31,0,0,0,0,09h22m01.53s,140.506393,-23d56m46.2s,-23.946169,840.0,746.14,12.3,V (Johnson),12.757,6010.0,1.33,1.64,2016-12-01,SuperWASP-South
