System,pl_orbincl,st_rad,Type,RAh,RAm,RAs,Decd,Decm,Decs,Vmag,Kmag,length,depth,T0,T0err,Period,Perioderr,Ephemeris_reference,st_logg,Teff,Z,pl_orbsmax
WASP-095,90,1.13, TEP  ,22,29,49.73,-48,0,11.0,10.09,8.56,0.11600000000000000,0.014000000000000000,2456338.45851,0.00024000000000000000,2.184673,1.4E-06,2014MNRAS.440.1982H,4.38,5830,0.14,0.03416
WASP-097,90,1.06, TEP  ,1,38,25.04,-55,46,19.5,10.58,9.03,0.1076,0.015,2456438.18683,0.00018,2.0727600000000000,1E-06,2014MNRAS.440.1982H,4.43,5670,0.23,0.03303
WASP-099,90,1.76, TEP  ,2,39,35.44,-50,0,28.8,9.48,8.09,0.21900000000000000,0.005,2456224.9824,0.0014,5.75251,4E-05,2014MNRAS.440.1982H,4.12,6150,0.21,0.0717
WASP-100,90,1.67, TEP  ,4,35,50.32,-64,1,37.3,10.8,9.67,0.16,0.008,2456272.3395,0.0009,2.849375,8E-06,2014MNRAS.440.1982H,4.16,6940,0.00,0.043
WASP-101,90,1.29, TEP  ,6,33,24.26,-23,29,10.2,10.34,9.07,0.113,0.011000000000000000,2457663.51944,8E-05,3.585722,4E-06,2017ApJ...835L..12W,4.345,6380,0.20,0.0506
WASP-108,90,1.215, TEP  ,13,3,18.73,-49,38,22.8,11.22,9.8,0.13216,0.008,2456413.79019,0.00025,2.6755463,2.1E-06,arXiv:1410.3449,4.336,6000,0.05,0.0397
WASP-111,90,1.85, TEP  ,21,55,4.23,-22,36,45.2,10.26,9.0,0.1373,0.006,2456275.75127,0.0004,2.310965,2.4E-06,arXiv:1410.3449,4.081,6400,0.08,0.03914
WASP-113,90,1.608, TEP  ,14,59,29.49,46,57,36.4,11.77,10.31,0.1791,0.01,2457197.097459,4E-05,4.5421687,4.2E-06,2016A+A...593A.113B,4.2,5890,0.10,0.05885
WASP-120,90,1.87, TEP  ,4,10,27.85,-45,53,53.6,10.96,9.88,0.1483,0.007000000000000000,2456779.4355600000,0.0005100000000000000,3.6112706000000000,4.3E-06,2016PASP..128f4401T,4.035,6450,-0.05,0.0514
WASP-121,90,1.458, TEP  ,7,10,24.06,-39,5,50.6,10.52,9.37,0.1211,0.017,2458119.7207400000,0.00017000000000000000,1.27492504,1.4E-07,arXiv:2001.06836,4.242,6460,0.13,0.02544
WASP-122,90,1.52, TEP  ,7,13,12.34,-42,24,35.1,11.0,9.42,0.09117,0.014000000000000000,2457872.52231,0.00015,1.71005344,3.2E-07,arXiv:2005.01684,4.166,5720,0.32,0.03005
WASP-123,90,1.285, TEP  ,19,17,55.05,-32,51,35.9,11.03,9.36,0.1289,0.011000000000000000,2456845.17082,0.00039,2.9776412,2.3E-06,2016PASP..128f4401T,4.286,5740,0.18,0.04263
WASP-126,90,1.27, TEP  ,4,13,29.75,-69,13,36.6,11.2,9.6,0.142,0.007000000000000000,2456890.3191,0.0006,3.2888,1E-05,2016A+A...591A..55M,4.28,5800,0.17,0.0449
WASP-127,90,1.39, TEP  ,10,42,14.08,-3,50,6.3,10.16,8.64,0.1795,0.011000000000000000,2457248.7412760000,6.8E-05,4.17807015,5.7E-07,arXiv:1805.11744,4.18,5750,-0.18,0.0520
WASP-131,90,1.526, TEP  ,14,0,46.44,-30,35,0.8,10.08,8.57,0.1596,0.006,2456919.8236,0.0004,5.322023000000000,5E-06,2017MNRAS.465.3693H,4.072,5950,-0.18,0.0597
WASP-138,90,1.36, TEP  ,2,46,33.37,0,27,50.0,11.81,10.49,0.1572,0.007000000000000000,2457326.62183,0.00032,3.634433,5E-06,2017A+A...599A...3L,4.25,6300,-0.09,0.0494
WASP-140,90,0.87, TEP  ,4,1,32.53,-20,27,3.9,11.13,9.17,0.0631,0.019,2456912.35105,0.00015,2.2359835,8E-07,2017MNRAS.465.3693H,4.51,5300,0.12,0.0323
WASP-156,90,0.76, TEP  ,2,11,7.61,2,25,4.8,11.57,9.34,0.1,0.005,2454677.707,0.002,3.8361690000000000,3E-06,2018A+A...610..A63D,4.60,4910,0.24,0.0453
WASP-167,90,1.79, TEP  ,13,4,10.53,-35,32,58.3,10.53,9.76,0.1135,0.008,2456592.4643,0.0002,2.0219596,6E-07,2017MNRAS.471.2743T,4.13,6900,-0.04,0.0365
WASP-173,90,1.11, TEP  ,23,36,40.32,-34,36,40.4,11.15,10.0,0.0957,0.013000000000000000,2457288.8585,0.0002,1.38665318,2.7E-07,arXiv:1803.02224,4.37,5700,0.16,0.0248
XO-1,90,0.930, TEP  ,16,2,11.84,28,10,10.4,11.14,9.53,0.1238,0.019,2455314.572766,4.9E-05,3.94150514,2E-07,2018MNRAS.481.4261S,4.509,5740,-0.03,0.04914
XO-2,90,0.998, TEP  ,7,48,6.47,50,13,33.0,11.25,9.31,0.1126,0.014000000000000000,2454147.75066,0.00012000000000000000,2.61585937,2.4E-07,2018IBVS.6243....1M,4.44,5332,0.43,0.03616
XO-3,90,1.409, TEP  ,4,21,52.7,57,49,1.9,9.91,8.79,0.1192,0.008,2455292.43266,0.00015,3.19153285,5.8E-07,2014ApJ...794..134W,4.222,6429,-0.18,0.04529
XO-4,90,1.554, TEP  ,7,21,33.17,58,16,5.0,10.67,9.41,0.18448,0.008,2454725.18901,0.00025,4.1250707,2.3E-06,2016ApJ...820...87V,4.166,6397,-0.04,0.05485
XO-6,90,1.93, TEP  ,6,19,10.36,73,49,39.6,10.25,9.25,0.12,0.014000000000000000,2456652.71245,0.00055,3.7650090000000000,4E-06,arXiv:1911.07054,4.04,6720,-0.07,0.0815
XO-7,90,1.480, TEP  ,18,29,54.93,85,13,59.6,10.52,9.24,0.1155,0.009000000000000000,2457917.47503,0.00045,2.8641424,4.3E-06,arXiv:1912.02821,4.246,6250,0.432,0.04421
